2024-06-16 14:21:30.396 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-16 14:21:30.396 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-16 14:27:02.541 | SUCCESS  | __main__:<module>:141 - 生成索引成功
2024-06-16 14:27:02.609 | SUCCESS  | __main__:<module>:151 - 读取问题成功
2024-06-16 14:27:34.360 | INFO     | __main__:<module>:164 - topk = 10
2024-06-16 14:27:54.882 | SUCCESS  | __main__:<module>:172 - 检索成功，检索的长度103
2024-06-16 14:32:12.165 | SUCCESS  | __main__:<module>:178 - 生成答案成功，答案数量为103
2024-06-16 14:32:12.175 | SUCCESS  | __main__:<module>:180 - 文件成功写入test5.jsonl
2024-06-16 14:49:21.032 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-16 14:49:21.032 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-16 14:54:55.200 | SUCCESS  | __main__:<module>:141 - 生成索引成功
2024-06-16 14:54:55.266 | SUCCESS  | __main__:<module>:151 - 读取问题成功
2024-06-16 14:55:28.291 | INFO     | __main__:<module>:164 - topk = 10
2024-06-16 14:55:28.815 | SUCCESS  | __main__:<module>:172 - 检索成功，检索的长度103
2024-06-16 15:01:25.874 | SUCCESS  | __main__:<module>:178 - 生成答案成功，答案数量为103
2024-06-16 15:01:25.880 | SUCCESS  | __main__:<module>:180 - 文件成功写入test5.jsonl
2024-06-16 15:14:19.740 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-16 15:14:19.741 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-16 15:28:15.477 | SUCCESS  | __main__:<module>:141 - 生成索引成功
2024-06-16 15:28:15.520 | SUCCESS  | __main__:<module>:151 - 读取问题成功
2024-06-16 15:36:28.170 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-16 15:36:28.170 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-16 15:50:22.769 | SUCCESS  | __main__:<module>:141 - 生成索引成功
2024-06-16 15:50:22.831 | SUCCESS  | __main__:<module>:151 - 读取问题成功
2024-06-16 15:54:22.961 | INFO     | __main__:<module>:167 - topk = 10
2024-06-16 15:54:25.388 | SUCCESS  | __main__:<module>:175 - 检索成功，检索的长度103
2024-06-16 16:01:24.140 | SUCCESS  | __main__:<module>:181 - 生成答案成功，答案数量为102
2024-06-16 16:01:24.171 | SUCCESS  | __main__:<module>:183 - 文件成功写入test5.jsonl
2024-06-16 16:04:52.303 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-16 16:04:52.303 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-16 16:18:46.808 | SUCCESS  | __main__:<module>:141 - 生成索引成功
2024-06-16 16:18:46.812 | SUCCESS  | __main__:<module>:151 - 读取问题成功
2024-06-16 16:18:59.462 | INFO     | __main__:<module>:167 - topk = 10
